40
1
3
                      'x0'                      'f0'                      'f1'                      'f2'
   3.05000000000000000e+03   1.00802655999897979e+02   9.63385205139623082e+01   1.01368896359150412e+02
   3.10000000000000000e+03   1.06205190000007860e+02   1.00356191346982001e+02   1.06376149325649720e+02
   3.15000000000000000e+03   1.11365630000014789e+02   1.04455236743845902e+02   1.11544581866757795e+02
   3.20000000000000000e+03   1.16378257000003941e+02   1.08635656704554009e+02   1.16876727474879701e+02
   3.25000000000000000e+03   1.21863923999946564e+02   1.12897451229106309e+02   1.22375119642420756e+02
   3.30000000000000000e+03   1.27735313000041060e+02   1.17240620317502831e+02   1.28042291861786168e+02
   3.35000000000000000e+03   1.33923818000010215e+02   1.21665163969743546e+02   1.33880777625381143e+02
   3.40000000000000000e+03   1.39536511000012979e+02   1.26171082185828467e+02   1.39893110425611013e+02
   3.45000000000000000e+03   1.46243400000035763e+02   1.30758374965757611e+02   1.46081823754880816e+02
   3.50000000000000000e+03   1.52161938000004739e+02   1.35427042309530947e+02   1.52449451105595841e+02
   3.55000000000000000e+03   1.58547634999966249e+02   1.40177084217148462e+02   1.58998525970161353e+02
   3.60000000000000000e+03   1.66701301000081003e+02   1.45008500688610212e+02   1.65731581840982557e+02
   3.65000000000000000e+03   1.71586795000010170e+02   1.49921291723916170e+02   1.72651152210464772e+02
   3.70000000000000000e+03   1.79075012999936007e+02   1.54915457323066306e+02   1.79759770571013007e+02
   3.75000000000000000e+03   1.87376766999950632e+02   1.59990997486060678e+02   1.87059970415032609e+02
   3.80000000000000000e+03   1.93617675999994390e+02   1.65147912212899257e+02   1.94554285234928756e+02
   3.85000000000000000e+03   2.01527624000096694e+02   1.70386201503582015e+02   2.02245248523106739e+02
   3.90000000000000000e+03   2.09635878999950364e+02   1.75705865358108980e+02   2.10135393771971820e+02
   3.95000000000000000e+03   2.17502626999979839e+02   1.81106903776480152e+02   2.18227254473929037e+02
   4.00000000000000000e+03   2.26217944000032730e+02   1.86589316758695560e+02   2.26523364121383707e+02
   4.05000000000000000e+03   2.35685305000049993e+02   1.92153104304755146e+02   2.35026256206741095e+02
   4.10000000000000000e+03   2.43615141999907792e+02   1.97798266414658940e+02   2.43738464222406350e+02
   4.15000000000000000e+03   2.51678580999956466e+02   2.03524803088406941e+02   2.52662521660784876e+02
   4.20000000000000000e+03   2.60730474999989383e+02   2.09332714325999149e+02   2.61800962014281595e+02
   4.25000000000000000e+03   2.70535449000075459e+02   2.15222000127435564e+02   2.71156318775301941e+02
   4.30000000000000000e+03   2.79017861000029370e+02   2.21192660492716158e+02   2.80731125436251034e+02
   4.35000000000000000e+03   2.88809374999953434e+02   2.27244695421840987e+02   2.90527915489534166e+02
   4.40000000000000000e+03   3.00182788999984041e+02   2.33378104914809995e+02   3.00549222427556629e+02
   4.45000000000000000e+03   3.08898644000058994e+02   2.39592888971623239e+02   3.10797579742723485e+02
   4.50000000000000000e+03   3.19719441000022925e+02   2.45889047592280690e+02   3.21275520927439970e+02
   4.55000000000000000e+03   3.30076023999950849e+02   2.52266580776782320e+02   3.31985579474111375e+02
   4.60000000000000000e+03   3.40764251000015065e+02   2.58725488525128185e+02   3.42930288875142992e+02
   4.65000000000000000e+03   3.51886796000064351e+02   2.65265770837318200e+02   3.54112182622939883e+02
   4.70000000000000000e+03   3.63679208999965340e+02   2.71887427713352452e+02   3.65533794209907285e+02
   4.75000000000000000e+03   3.74519037000020035e+02   2.78590459153230938e+02   3.77197657128450544e+02
   4.80000000000000000e+03   3.86716746999998577e+02   2.85374865156953604e+02   3.89106304870974725e+02
   4.85000000000000000e+03   3.97659671999979764e+02   2.92240645724520505e+02   4.01262270929885347e+02
   4.90000000000000000e+03   4.11962289000046439e+02   2.99187800855931528e+02   4.13668088797587302e+02
   4.95000000000000000e+03   4.25384745999937877e+02   3.06216330551186843e+02   4.26326291966485883e+02
   5.00000000000000000e+03   4.37776093999971636e+02   3.13326234810286337e+02   4.39239413928986380e+02
